Item Name,Class Type,Sell Price,Time To Make (Mins),Source Machine/Structure,Ingredients Needed
Cherry Juice,MachinedItem,216.0,150,Juice Press,Cherry x2
Tomato Juice,MachinedItem,162.0,90,Juice Press,Tomato x3
Berry Juice,MachinedItem,205.2,180,Juice Press,"Blackberry x1, Raspberry x1"
Vanilla Ice Cream,MachinedItem,172.8,120,Ice Cream Maker,"Milk x1, Cream x1, White Sugar x1"
Cherry Popsicle,MachinedItem,352.8,180,Ice Cream Maker,"Cherry Juice x1, Syrup x1"
Strawberry Ice Cream,MachinedItem,331.2,240,Ice Cream Maker,"Milk x1, Cream x1, White Sugar x1, Strawberry x3"
Chocolate Ice Cream,MachinedItem,342.0,150,Ice Cream Maker,"Milk x1, Cream x1, White Sugar x1, Cacao x2"
Lamb doner wrap,MachinedItem,172.8,20,Doner Kebab Stand,"Grilled Lamb Skewer x1, Tomato x1, Bread x1"
Spicy bean doner,MachinedItem,172.8,30,Doner Kebab Stand,"Black Bean x3, Chili Pepper x3, Cheese x2, Corn Bread x1"
Apple Jam,MachinedItem,219.0,360,Jam Maker,Apple x3
Raspberry Jam,MachinedItem,252.0,420,Jam Maker,Raspberry x3
Blackberry Jam,MachinedItem,388.8,480,Jam Maker,Blackberry x3
Cherry Jam,MachinedItem,334.0,420,Jam Maker,Cherry x3
Bracelet,MachinedItem,514.0,120,Jeweler,"Gold Bar x1, Silver Bar x2"
Necklace,MachinedItem,727.2,180,Jeweler,"Gold Bar x1, Platinum Bar x1, Silver Bar x2"
Diamond Ring,MachinedItem,824.4,240,Jeweler,"Diamond x1, Platinum Bar x2, Gold Bar x2"
Iron Bracelet,MachinedItem,658.0,90,Jeweler,"Iron Bar x2, Refined coal x2, Silver Bar x1"
Honey,MachinedItem,154.0,20,Honey Extractor,Honeycomb x2
Espresso,MachinedItem,248.0,5,Coffee Kiosk,"Coffee Bean x3, White Sugar x1"
Axe,SpecialItem,36.0,0,None,None
Saw,SpecialItem,54.0,0,None,None
Dynamite,SpecialItem,25.2,0,None,None
TNT,SpecialItem,72.0,0,None,None
Shovel,SpecialItem,108.0,0,None,None
Silver Ore,SpecialItem,18.0,0,Mine,None
Gold Ore,SpecialItem,21.6,0,Mine,None
Platinum Ore,SpecialItem,32.4,0,Mine,None
Coal,SpecialItem,10.8,0,Mine,None
Iron Ore,SpecialItem,14.4,0,Mine,None
Nail,SpecialItem,270.0,0,None,None
Screw,SpecialItem,270.0,0,None,None
Wood Panel,SpecialItem,270.0,0,None,None
Bolt,SpecialItem,270.0,0,None,None
Plank,SpecialItem,270.0,0,None,None
Duct Tape,SpecialItem,270.0,0,None,None
Land Deed,SpecialItem,403.2,0,None,None
Mallet,SpecialItem,403.2,0,None,None
Marker Stake,SpecialItem,403.2,0,None,None
Map Piece,SpecialItem,450.0,0,None,None
Stone Block,SpecialItem,342.0,0,None,None
Hammer,SpecialItem,342.0,0,None,None
Paint Bucket,SpecialItem,342.0,0,None,None
Tar Bucket,SpecialItem,342.0,0,None,None
Hand Drill,SpecialItem,342.0,0,None,None
Brick,SpecialItem,342.0,0,None,None
Diamond,SpecialItem,,0,None,None
